Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-04 00:00:00+08:00,0.038000,0.038000,0.038000,0.038000,0,0.000000,0.000000
2023-12-05 00:00:00+08:00,0.038000,0.038000,0.038000,0.038000,0,0.000000,0.000000
2023-12-06 00:00:00+08:00,0.038000,0.038000,0.038000,0.038000,0,0.000000,0.000000
2023-12-07 00:00:00+08:00,0.038000,0.038000,0.038000,0.038000,0,0.000000,0.000000
2023-12-08 00:00:00+08:00,0.038000,0.038000,0.038000,0.038000,0,0.000000,0.000000
2023-12-11 00:00:00+08:00,0.038000,0.038000,0.038000,0.038000,0,0.000000,0.000000
2023-12-12 00:00:00+08:00,0.038000,0.038000,0.038000,0.038000,0,0.000000,0.000000
2023-12-13 00:00:00+08:00,0.038000,0.038000,0.038000,0.038000,0,0.000000,0.000000
2023-12-14 00:00:00+08:00,0.038000,0.038000,0.038000,0.038000,0,0.000000,0.000000
2023-12-15 00:00:00+08:00,0.038000,0.038000,0.038000,0.038000,0,0.000000,0.000000
2023-12-18 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,500,0.000000,0.000000
2023-12-19 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2023-12-20 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2023-12-21 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2023-12-22 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2023-12-26 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2023-12-27 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2023-12-28 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2023-12-29 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2024-01-02 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2024-01-03 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2024-01-04 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2024-01-05 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2024-01-08 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2024-01-09 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2024-01-10 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2024-01-11 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2024-01-12 00:00:00+08:00,0.050000,0.050000,0.050000,0.050000,0,0.000000,0.000000
2024-01-15 00:00:00+08:00,0.048000,0.048000,0.048000,0.048000,26300,0.000000,0.000000
2024-01-16 00:00:00+08:00,0.048000,0.048000,0.048000,0.048000,0,0.000000,0.000000
2024-01-17 00:00:00+08:00,0.048000,0.048000,0.048000,0.048000,0,0.000000,0.000000
2024-01-18 00:00:00+08:00,0.048000,0.048000,0.048000,0.048000,0,0.000000,0.000000
2024-01-19 00:00:00+08:00,0.048000,0.048000,0.048000,0.048000,0,0.000000,0.000000
2024-01-22 00:00:00+08:00,0.048000,0.048000,0.048000,0.048000,0,0.000000,0.000000
2024-01-23 00:00:00+08:00,0.025000,0.043000,0.025000,0.043000,15200,0.000000,0.000000
2024-01-24 00:00:00+08:00,0.043000,0.043000,0.043000,0.043000,0,0.000000,0.000000
2024-01-25 00:00:00+08:00,0.043000,0.043000,0.043000,0.043000,0,0.000000,0.000000
2024-01-26 00:00:00+08:00,0.043000,0.043000,0.043000,0.043000,0,0.000000,0.000000
2024-01-29 00:00:00+08:00,0.043000,0.043000,0.043000,0.043000,0,0.000000,0.000000
2024-01-30 00:00:00+08:00,0.043000,0.043000,0.043000,0.043000,0,0.000000,0.000000
